"label";"pubmedid"
"javaisland";30943932
"javaisland";30962558
"javaisland";30971444
"javaisland";30975226
"javaisland";30989202
"javaisland";30998877
"javaisland";31014711
"javaisland";31023232
"javaisland";31039155
"javaisland";31040558
"javaisland";31040563
"javaisland";31040565
"javaisland";31040571
"javaisland";31040575
"javaisland";31041326
"javaisland";31042814
"javaisland";31048978
"javaisland";31056152
"javaisland";31062441
"javaisland";31068209
"javaisland";31068581
"javaisland";31085438
"javaisland";31089167
"javaisland";31093324
"javaisland";31099528
"javaisland";31108220
"javaisland";31130934
"javaisland";31138160
"javaisland";31157413
"javaisland";31158243
"javaisland";31176379
"javaisland";31185984
"javaisland";31190714
"javaisland";31192718
"javaisland";31210160
"javaisland";31221186
"javaisland";31225709
"javaisland";31226954
"javaisland";31230917
"javaisland";31232293
"javaisland";31233517
"javaisland";31237899
"javaisland";31254600
"javaisland";31255821
"javaisland";31256393
"javaisland";31257159
"javaisland";31266233
"javaisland";31272219
"javaisland";31279205
"javaisland";31289296
"javaisland";31295313
"javaisland";31296467
"javaisland";31299968
"javaisland";31303235
"javaisland";31303513
"javaisland";31303517
"javaisland";31307517
"javaisland";31311735
"javaisland";31314399
"javaisland";31324544
"javaisland";31326298
"javaisland";31329534
"javaisland";31330161
"javaisland";31331732
"javaisland";31360099
"javaisland";31372449
"javaisland";31375386
"javaisland";31378712
"javaisland";31385750
"javaisland";31387537
"javaisland";31391874
"javaisland";31394077
"javaisland";31397405
"javaisland";31406533
"javaisland";31420573
"javaisland";31427896
"javaisland";31442864
"javaisland";31450917
"javaisland";31454974
"javaisland";31474381
"javaisland";31500141
"javaisland";31508446
"javaisland";31512573
"javaisland";31528018
"javaisland";31528040
"javaisland";31533400
"javaisland";31549366
"javaisland";31555008
"javaisland";31607604
"javaisland";31609704
"javaisland";31641300
"javaisland";31641676
"javaisland";31666053
"javaisland";31671530
"javaisland";31696546
"javaisland";31699943
"javaisland";31715822
"javaisland";31716307
"javaisland";31716506
"javaisland";31716616
"javaisland";31716847
"javaisland";31717166
"javaisland";31720453
"javaisland";31736045
"javaisland";31742436
"javaisland";31749582
"javaisland";31754422
"javaisland";31763413
"javaisland";31783608
"javaisland";31796613
"javaisland";31808189
"javaisland";31817651
"javaisland";31819870
"javaisland";31820533
"javaisland";31829153
"javaisland";31838413
"javaisland";31847322
"javaisland";31849420
"javaisland";31853068
"javaisland";31855306
"javaisland";31860657
"javaisland";31861327
"javaisland";31871526
"javaisland";31876301
"javaisland";31890008
"javaisland";31900103
"javaisland";31919057
"javaisland";31927519
"javaisland";31935256
"javaisland";31971879
"javaisland";31989181
"javaisland";31998846
"javaisland";32009768
"javaisland";32019954
"javaisland";32031978
"javaisland";32032799
"javaisland";32053621
"javaisland";32071979
"javaisland";32074938
"javaisland";32085705
"javaisland";32097026
"javaisland";32099571
"javaisland";32100167
"javaisland";32132850
"javaisland";32140223
"javaisland";32148362
"javaisland";32148367
"javaisland";32148718
"javaisland";32158157
"javaisland";32160948
"javaisland";32164243
"javaisland";32175705
"javaisland";32181290
"javaisland";32188503
"javaisland";32202967
"javaisland";32204232
"javaisland";32219944
"javaisland";32230064
"javaisland";32230551
"javaisland";32230660
"javaisland";32230695
"javaisland";32258438
"javaisland";32273983
"javaisland";32285390
"javaisland";32290768
"javaisland";32290788
"javaisland";32308408
"javaisland";32324775
"javaisland";32331756
"javaisland";32345338
"javaisland";32346561
"javaisland";32355609
"javaisland";32368599
"javaisland";32370625
"javaisland";32374039
"javaisland";32377516
"javaisland";32378490
"javaisland";32394883
"javaisland";32407791
"javaisland";32428656
"javaisland";32458651
"javaisland";32478190
"javaisland";32478194
"javaisland";32490264
"javaisland";32497853
"javaisland";32512618
